NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS22563Z,-91,42,10,1,2,1,1,2,1,9,1,3,1,0,1,1,0,0,2,0,5,1,2,4,2,2,2,3,0,2,2,2,1,-91,-91,1,4,4,2,14,-1,3,1,1,1,1,2,3,384.62
NS21615K,-91,31,10,1,2,2,1,5,2,-98,-98,3,-98,0,1,2,0,0,1,1,7,1,2,2,2,1,2,3,0,2,2,2,2,2,2,9,4,4,2,10,0,2,1,1,1,1,4,1,384.62
NS20729Q,-91,47,10,1,2,1,1,2,1,4,1,3,1,0,0,2,1,0,2,0,1,1,1,5,2,2,1,3,1,2,2,1,2,1,2,2,4,4,2,11,1,0,1,1,1,2,2,1,384.62
NS16376Q,-91,35,10,1,1,2,-999,-999,-91,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,6,2,3,2,2,1,2,0,2,1,2,2,1,2,9,4,4,2,13,1,1,1,1,1,1,4,2,384.62
NS13657X,-91,21,10,1,1,2,1,4,1,15,1,3,1,0,1,2,0,0,2,0,5,1,2,1,1,1,2,3,5,2,3,1,1,-91,-91,1,4,4,2,14,1,2,1,1,1,2,7,3,384.62
NS10260N,-92,35,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,1,0,5,1,2,1,-1,0,1,1,1,2,-92,2,-1,1,2,2,2,9,4,4,2,10,0,0,1,1,1,2,7,2,384.62
NS22025M,-92,25,2,1,2,4,1,1,1,20,3,2,3,0,3,2,1,0,2,0,6,1,2,3,2,1,1,3,0,2,1,1,2,2,2,9,4,4,2,12,0,4,1,1,1,1,2,3,384.62
NS15243F,-92,33,1,2,2,5,1,2,1,20,1,3,1,0,5,1,0,0,2,0,5,5,2,5,2,2,2,3,1,2,1,1,2,1,2,9,4,4,2,11,1,2,1,1,1,1,7,2,384.62
NS19151D,-92,41,1,1,2,2,1,2,1,1,1,1,1,0,1,2,0,0,2,0,1,7,1,4,2,2,2,3,0,1,1,2,1,-91,-91,1,4,4,2,14,1,0,1,1,1,2,5,2,384.62
NS15530P,-999,35,1,1,1,-99,1,5,1,15,1,3,1,1,1,2,2,0,2,0,4,4,3,2,2,2,2,-99,0,2,1,1,2,1,1,9,4,4,2,14,1,1,2,1,1,1,3,2,384.62
