NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1wrkfulldad,W1wrkfullmum,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DAGEYCH,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW,W8PUSA
NS25660K,-91,45,5,1,2,0,1,2,1,20,-99,3,0,0,1,0,0,2,0,-99,4,4,1,1,2,1,3,-92,1,4,2,2,2,2,9,4,4,2,11,-1,-1,1,2,9,2,2,1,3,-1,12000
NS21192C,8112,36,2,1,2,1,1,2,1,15,-98,2,0,0,2,0,0,1,1,3,1,1,1,2,1,1,3,0,2,1,1,1,-91,-91,1,4,4,2,17,-1,12,1,1,1,1,2,4,2,115.38,12000
NS19706Z,16800,31,1,1,2,2,1,2,1,7,1,1,2,0,1,1,0,2,0,1,1,1,3,2,1,2,3,3,2,4,2,1,-91,-91,1,4,4,2,19,1,0,-1,1,1,1,1,4,4,346.15,12000
NS21516J,11544,23,1,1,2,2,1,2,1,15,1,1,0,0,1,0,0,2,0,2,1,2,-91,2,1,2,3,2,2,1,1,2,2,2,9,4,4,2,11,-1,0,2,1,1,1,1,4,2,542.31,12000
NS16635S,3744,39,2,1,2,2,1,2,1,16,1,2,0,1,2,0,0,3,0,6,1,3,2,2,1,2,3,0,2,2,1,1,-91,-91,1,4,4,2,10,-1,0,2,1,1,1,1,2,2,692.31,12000
NS12855D,11328,39,1,1,2,2,1,2,1,14,-98,1,0,1,2,0,0,4,1,6,1,1,-1,2,2,2,3,0,2,1,2,1,-91,-91,1,4,4,2,11,1,1,-1,1,1,1,1,7,2,361.54,12500
NS13984J,-92,40,1,1,2,0,1,2,1,6,1,1,0,0,2,0,0,2,0,6,1,2,3,2,1,2,3,0,2,2,1,2,2,2,9,4,4,2,5,1,0,-1,2,1,1,1,2,2,556.85,13000
NS20015B,-92,38,1,1,2,3,1,2,1,14,1,1,0,2,2,0,0,2,0,6,1,3,2,2,2,2,3,0,2,1,2,1,-91,-91,9,4,4,2,15,-1,0,-1,1,1,1,1,2,2,331.73,14000
NS15321R,8125,42,2,1,1,1,1,1,1,15,3,2,0,0,2,0,0,3,0,3,1,2,3,2,2,2,3,11,-1,4,2,1,-91,-91,1,4,4,2,10,1,11,-1,1,5,2,1,4,3,270.33,14700
NS14102D,10200,21,2,1,2,1,1,2,1,2,1,2,0,1,1,1,0,2,0,1,1,1,-91,2,1,2,3,0,2,1,2,2,2,2,1,4,4,2,16,0,0,1,2,1,1,2,4,3,182.69,14800
NS23953J,3744,35,2,1,2,3,1,1,1,20,2,3,2,3,1,1,0,2,0,8,5,2,2,2,2,2,3,0,2,1,2,1,-91,-91,2,4,4,2,12,0,0,-1,2,9,2,2,5,1,-1,15000
NS18098R,-91,37,10,1,1,1,1,1,1,9,1,3,0,1,1,1,0,2,0,7,4,1,3,2,2,2,3,0,1,1,2,2,1,2,9,4,4,2,5,1,0,-1,2,2,1,1,7,1,-1,15000
NS13464J,16400,39,1,1,2,1,1,2,1,15,-99,1,0,1,1,0,0,3,0,2,1,3,2,2,2,1,3,0,2,1,1,1,-91,-91,1,4,4,2,10,1,2,-1,1,1,1,2,2,1,354.08,15085
NS16968L,8686.08,38,2,1,2,1,1,2,1,6,1,2,0,1,1,0,0,2,0,1,1,1,4,2,2,1,3,0,2,2,1,2,2,2,9,4,4,2,14,1,4,-1,1,1,1,2,4,4,346.15,15500
NS21955V,3744,35,2,1,2,0,1,2,1,9,1,2,0,0,1,1,0,2,0,1,1,4,3,2,1,1,3,-99,-99,-99,1,2,2,1,9,4,4,2,11,0,4,-1,1,2,1,1,2,2,-1,16000
NS11742H,-91,36,9,1,1,0,1,2,1,20,3,3,0,0,1,0,0,2,0,7,1,2,3,2,2,2,2,0,2,2,1,2,2,2,9,4,4,2,12,0,1,-1,1,2,1,1,4,2,-1,16000
NS15042A,-999,41,2,1,2,1,1,2,1,5,1,2,0,0,1,0,0,2,0,-99,1,1,4,2,2,2,3,2,2,3,1,2,1,2,3,4,1,-94,7,1,5,-1,1,5,2,2,7,3,115.38,16000
NS19481T,10004.8,36,2,1,2,0,1,2,1,14,1,2,0,0,1,0,0,2,0,1,1,1,4,1,1,1,3,11,2,4,1,1,-91,-91,1,4,4,2,11,-1,0,-1,1,1,1,2,1,1,278.85,16000
NS14239X,8748.48,28,2,1,2,0,1,2,1,8,1,2,0,0,1,1,0,2,0,1,1,2,3,2,1,2,3,9,2,4,1,1,-91,-91,1,4,4,2,14,0,2,-1,1,1,1,2,1,4,365.38,16000
NS12521J,-91,45,10,1,1,1,1,5,1,15,-98,3,0,1,1,1,0,4,1,6,3,1,3,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,8,0,0,-1,2,1,1,2,2,1,403.85,16000
NS25899H,-999,31,1,1,2,0,1,2,1,4,1,1,0,0,1,0,0,2,0,4,1,2,2,2,1,1,3,0,2,1,1,2,2,2,9,4,4,2,14,1,0,-1,2,1,1,1,4,2,403.85,16000
NS13561H,-1,23,2,1,2,2,1,2,1,15,1,2,0,1,3,0,0,2,0,7,1,2,3,-1,-92,1,3,2,2,2,2,1,-91,-91,1,4,4,2,13,1,0,-1,1,2,1,2,4,2,480,16000
NS18829Y,-92,18,1,1,1,0,1,2,1,2,1,1,0,0,1,0,0,2,0,2,1,1,2,1,1,2,3,0,2,1,1,2,2,2,9,4,4,2,9,1,0,-1,1,1,1,2,2,1,500,16000
NS10265T,30000,43,1,1,2,0,1,1,1,2,1,1,0,0,1,0,0,2,0,2,1,1,2,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,9,1,0,-1,1,1,1,2,4,1,505.27,16000
NS16361Q,11689.6,36,1,1,2,3,1,2,1,15,1,3,0,3,1,0,0,3,0,7,1,1,1,2,1,2,3,1,2,1,1,2,1,1,9,4,4,2,15,0,2,-1,1,1,1,1,2,3,730.77,16000
NS13711P,39600,39,1,1,2,5,1,2,1,2,1,1,0,4,3,0,0,2,0,1,1,1,3,2,2,2,3,0,2,1,1,2,1,2,9,4,4,2,14,0,1,5,1,1,1,1,2,1,500,16005
NS16396E,-91,38,10,1,1,0,1,2,1,15,1,3,0,0,1,0,0,2,0,4,1,3,1,1,1,2,3,0,2,1,-92,1,-91,-91,1,4,4,2,10,1,0,8,1,1,1,2,2,1,430.02,16320
NS17368T,21600,42,1,1,2,0,1,2,1,5,1,1,0,0,1,0,0,2,0,6,1,1,5,2,1,1,3,0,2,2,1,2,2,2,9,4,4,2,5,0,0,-1,1,1,1,2,2,2,327.15,16500
NS17870Q,-1,36,1,1,1,0,1,2,1,15,1,1,0,0,1,0,0,2,0,3,1,3,2,2,1,2,3,0,2,1,1,2,2,2,9,4,4,2,9,1,0,-1,1,1,1,2,7,2,480.77,16500
NS18496Y,4659.2,24,2,1,2,2,1,2,1,15,1,2,0,1,3,0,0,2,0,4,1,3,3,2,1,1,1,0,2,2,1,2,2,2,9,4,4,2,12,-1,0,-1,1,2,1,1,2,1,-1,17000
NS22965K,-91,35,5,1,1,0,1,4,1,20,-98,3,0,0,2,0,0,1,1,8,1,3,1,1,1,1,3,0,1,-1,1,2,2,2,9,4,4,2,9,0,3,1,1,4,2,2,4,2,-1,17000
NS16107A,-999,42,1,2,1,1,1,2,1,20,1,1,1,0,1,0,0,3,0,4,2,2,5,2,2,2,2,0,2,1,1,2,1,1,9,4,4,2,10,0,0,-1,1,2,1,1,2,1,-1,17000
NS20720F,7384,23,2,2,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,5,1,3,0,1,1,1,3,0,2,2,1,2,1,2,9,4,4,2,14,0,2,-1,1,1,1,2,7,2,326.92,17000
NS10801K,3244.8,45,2,1,2,1,1,2,1,16,1,2,0,0,2,0,0,2,0,4,1,2,4,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,17,1,8,-1,1,1,1,1,7,2,423.08,17000
NS23632M,15120,37,1,1,2,0,1,2,1,8,1,1,0,0,3,0,0,2,0,3,1,4,-91,2,2,1,3,3,2,4,1,2,2,2,9,4,4,2,10,-1,0,-1,1,1,1,2,2,3,538.46,17000
NS24766Y,9200,25,2,1,2,2,1,2,1,8,-98,2,0,1,2,0,0,5,1,2,2,2,-91,2,1,1,3,1,2,-1,1,2,2,2,9,4,4,2,13,0,0,-1,1,1,1,1,7,1,557.69,17000
NS25202L,-3,27,1,1,2,1,1,2,1,15,-98,1,0,0,2,0,0,5,1,2,1,2,3,2,1,2,3,7,2,4,1,2,2,2,9,4,4,2,12,-1,6,-1,1,1,1,1,7,3,576.92,17000
NS22969P,8140.6,40,1,1,2,1,1,2,1,5,1,1,0,0,2,0,0,2,0,6,1,2,-91,2,1,2,3,3,2,3,1,2,1,2,9,4,4,2,12,-1,6,4,1,4,2,2,4,2,-1,17500
NS15602K,-999,39,1,1,2,1,1,2,1,-98,1,-98,0,1,1,0,0,-98,1,1,1,3,2,1,1,1,3,6,2,3,1,2,2,2,9,4,4,2,11,1,11,-1,1,1,1,2,4,5,415.7,17500
NS23332F,2028,42,2,1,2,1,1,2,1,2,1,2,0,0,2,0,1,2,0,1,1,1,4,2,-1,2,3,5,2,3,1,1,-91,-91,1,4,4,2,16,-1,0,-1,1,1,1,2,4,1,596.15,17500
NS10174K,8611.2,33,1,1,1,2,1,2,1,15,-98,1,0,2,1,0,0,5,1,5,1,1,5,2,-92,-92,3,-92,2,3,1,2,1,2,9,4,4,2,12,0,0,0,2,9,2,2,4,1,-1,18000
NS14654P,-1,22,1,1,2,0,1,2,1,16,1,1,0,0,1,1,0,2,0,2,1,3,2,2,1,2,3,1,2,1,1,2,2,2,9,4,4,2,9,-1,0,1,1,2,1,2,2,1,-1,18000
NS17325M,-91,46,10,1,1,3,1,2,2,6,2,3,0,2,2,0,0,2,0,5,2,1,5,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,13,-1,9,-1,1,5,2,2,4,2,-1,18000
